BTS ASCII format															
															
Type:         	Emg tracks														
Measure unit: 	mV														
															
Tracks:       	14														
Frequency:    	1000 [Hz]														
Frames:       	11111														
Start time:   	0														
															
 Frame	  Time  	Right Rectus femoris  	Right Vastus medialis  	Right Vastus lateralis  	Right Tibialis anterior  	Right Biceps femoris caput longus  	Right Semitendinosus  	Right Gastrocnemius medialis  	Right Gastrocnemius lateralis  	Right Peroneus longus  	Right Soleus  	Right Erector spinae ileocostalis  	Right Tensor fasciae latae  	Right Gluteus maximus  	Right Gluteus medius
60	0.06	0.0173	-0.0042	0.0856	0.0008	-0.0185	-0.0033	-0.0034	0.0886	0.0025	0.0028	0.0017	0.0506	0.0164	0.0012
61	0.061	0.0085	0.0177	-0.0117	0.0014	-0.0048	-0.0041	-0.0155	-0.0471	0.0131	0.01	0.0081	0.0377	0.0075	-0.0008
62	0.062	-0.0085	0.0204	-0.0257	0.0031	0.0223	0.0001	-0.0002	-0.0654	0.0061	0.0033	0.0106	0.0487	-0.0028	0.0008
63	0.063	-0.0457	0.0285	-0.0133	-0.0021	0.0329	-0.0052	0.0019	-0.0486	0.0024	-0.0029	0.0006	0.038	-0.0042	0.0013
64	0.064	-0.0405	0.0061	0.067	-0.007	0.0295	-0.0059	-0.0222	-0.0026	-0.0008	-0.0011	-0.0008	0.0282	-0.0079	-0.0013
65	0.065	-0.0358	-0.039	0.0979	-0.0066	-0.0035	-0.0117	-0.0189	-0.0166	-0.0017	0.0004	0.0004	0.0365	-0.011	-0.0016
66	0.066	-0.0139	-0.0713	0.0124	-0.0013	-0.0254	-0.0048	-0.016	-0.0292	-0.0009	-0.0072	-0.0052	0.0439	-0.0079	-0.0028
67	0.067	0.0221	-0.0539	-0.1603	-0.0034	-0.0135	0.0036	-0.0022	0.0282	-0.0017	-0.0032	-0.0082	0.0365	-0.0162	-0.0053
68	0.068	0.0558	-0.038	-0.2835	0.0008	0.0118	0.0026	0.0151	0.0801	0.0005	-0.007	-0.0036	0.0171	-0.0105	-0.0105
69	0.069	0.0689	-0.0236	-0.306	-0.0009	-0.0046	0.0056	0.0174	-0.0054	0.0054	0.0008	-0.0044	0.0113	-0.0114	-0.0189
70	0.07	0.0489	-0.0544	-0.1229	-0.0034	-0.0314	0.0083	0.0073	-0.0168	0.0037	0.0164	-0.0022	0.006	-0.0104	-0.0156
71	0.071	0.0381	-0.0425	0.0988	-0.0031	-0.0565	0.0074	0.0055	0.0353	-0.0016	0.0052	0.0042	0.0013	-0.0078	-0.0061
72	0.072	0.0283	-0.0096	0.1283	0.0008	-0.0069	-0.0011	0.0005	0.0638	-0.0009	-0.001	0.0153	-0.003	-0.0055	-0.0049
73	0.073	0.0075	0.0124	0.101	-0.0049	0.0426	-0.0067	-0.0009	0.0379	0.0021	0.0082	0.0197	-0.0068	-0.006	-0.0017
74	0.074	-0.0005	0.0565	0.0764	-0.0012	0.0361	-0.0036	0.0005	0.0301	-0.002	-0.007	0.0127	-0.0032	-0.0043	-0.0007
75	0.075	-0.0177	0.0739	0.0539	0.0052	-0.0048	-0.0045	0.0017	0.0088	-0.0097	-0.009	-0.0062	-0.0194	-0.0025	0.0019
76	0.076	-0.0379	0.0581	0.0334	0.0043	-0.0312	-0.0088	-0.0014	-0.0755	-0.0087	-0.0034	-0.0198	-0.022	-0.0009	0.001
77	0.077	-0.0352	0.034	0.0887	0.0095	-0.0069	0.0027	0.0039	-0.064	0.007	0.0017	-0.0074	-0.0245	-0.0038	-0.0027
78	0.078	-0.0424	0.0384	0.0382	0.0116	0.0065	-0.0024	0.0085	-0.012	0.0091	0.0031	-0.0051	-0.017	0.0027	0.0037
79	0.079	-0.0445	0.0424	-0.0077	0.0074	0.0183	-0.0009	0.0059	0.0164	0.003	0.007	-0.003	-0.0058	0.0036	0.0045
80	0.08	-0.026	0.046	-0.0216	0.0033	0.0147	0.006	0.0097	0.0077	0.0011	0.0081	0.0063	0.0084	0.0045	0.0066
81	0.081	-0.0087	0.023	-0.0341	-0.0045	0.0177	0.0048	0.0019	0.0153	-0.0006	0.0048	0.0079	0.0066	0.0009	0.0045
82	0.082	-0.0152	0.0082	0.0004	-0.0101	0.0382	-0.003	0.005	-0.0061	-0.0021	-0.0004	0.0124	0.0184	-0.0039	-0.0013
83	0.083	-0.0253	0.011	0.0315	-0.0153	0.0299	0.0084	0.006	-0.0512	-0.0008	0.0116	0.0192	0.0077	-0.0021	0.0009
84	0.084	-0.027	0.0134	0.0409	-0.0126	0.0126	0.0069	0.0052	-0.0338	0.0029	0.0132	0.0179	-0.0018	-0.006	-0.0027
85	0.085	-0.0286	0.0157	0.0322	-0.0031	-0.0208	-0.0001	0.003	-0.0071	-0.0048	-0.0007	0.0121	0.0096	-0.0034	-0.0032
86	0.086	-0.033	-0.0027	-0.0069	-0.0043	-0.064	-0.0013	0.0024	-0.0117	0.0025	0.0012	0.0026	0.0081	-0.0054	-0.0003
87	0.087	-0.0204	-0.015	-0.0141	0.0034	-0.0229	0.0065	0.0119	0.0014	0.0033	0.0028	-0.0087	0.0151	-0.0065	0.0022
88	0.088	-0.0017	-0.0038	-0.0078	0.0024	0.0036	0.0034	0.0133	-0.0026	0.0024	0.0073	-0.0132	0.0164	-0.006	0.0083
89	0.089	0.0108	-0.0017	-0.0023	0.0016	0.0083	0.0061	0.0121	0.0082	-0.0028	0.0113	-0.0311	-0.0005	-0.0049	0.0124
90	0.09	0.022	-0.0072	-0.0396	0.0041	0.0126	-0.0017	0.0111	0.018	-0.0008	-0.0075	-0.0187	-0.0175	0.0003	0.0009
