participant,age,group,vaf_walking,dmci_walking,quality_walking,cci_knee_walking,cci_ankle_walking,peak_roll_walking,rom_roll_walking,peak_pitch_walking,rom_pitch_walking,stride_count_walking,stride_timing_cv_walking,vaf_walkingincline,dmci_walkingincline,quality_walkingincline,cci_knee_walkingincline,cci_ankle_walkingincline,peak_roll_walkingincline,rom_roll_walkingincline,peak_pitch_walkingincline,rom_pitch_walkingincline,stride_count_walkingincline,stride_timing_cv_walkingincline,vaf_stepforward,dmci_stepforward,quality_stepforward,cci_knee_stepforward,cci_ankle_stepforward,peak_roll_stepforward,rom_roll_stepforward,peak_pitch_stepforward,rom_pitch_stepforward,stride_count_stepforward,stride_timing_cv_stepforward,vaf_steplateral,dmci_steplateral,quality_steplateral,cci_knee_steplateral,cci_ankle_steplateral,peak_roll_steplateral,rom_roll_steplateral,peak_pitch_steplateral,rom_pitch_steplateral,stride_count_steplateral,stride_timing_cv_steplateral
13,63.0,2.0,87.5512,99.72202188401592,ok,0.8247,0.7469,45.745805,69.427675,74.613131,94.43281999999999,4,1.2536989568638086,86.277,98.67169176122383,ok,0.8176,0.6477,45.745805,69.427675,74.613131,94.43281999999999,4.0,1.2536989568638086,81.6601,94.69831658833395,ok,0.6357,0.6817,16.414101,28.677266,52.283756,51.881724,0,,80.405,101.28306620977352,ok,0.5398,0.6937,6.994919,13.469481,44.016567,44.131909,0,
14,21.0,1.0,83.7132,108.88136262188456,ok,0.788,0.5557,158.020577,184.29273,85.239623,76.708125,2,,80.5604,111.88205851257408,ok,0.8315,0.5016,71.713543,86.025486,76.536076,85.675826,0.0,,73.8844,117.1059935992657,ok,0.6302,0.4491,21.071137,30.494325,21.810802,24.391234999999998,0,,80.6736,100.47752285923262,ok,0.6313,0.5323,15.897802,27.899766,42.727093,43.092489,0,
15,55.0,2.0,86.7013,101.75029798956946,ok,0.7996,0.7316,22.619103,44.827903,64.705679,81.782425,16,0.7498953354186519,83.7098,104.60417847081806,ok,0.8108,0.6728,25.141834,42.425129999999996,68.908871,78.75339600000001,0.0,,78.7724,103.01996594523655,ok,0.7719,0.6625,24.438112,38.021316,47.722042,48.632745,0,,83.297,92.60982953902018,ok,0.7961,0.6956,24.480047,32.426176999999996,27.843899,33.774419,0,
16,52.0,2.0,83.8468,108.56252783225995,ok,0.7805,0.6794,28.355009,26.301651999999997,64.404756,78.325496,33,0.6475820590317861,87.2168,96.49992835764144,ok,0.8427,0.7205,36.57503,38.438188,64.824895,77.717728,40.0,0.5021991419381706,81.5085,95.13519093210458,ok,0.811,0.6454,9.26244,11.661704,40.65965,38.760481999999996,0,,83.297,92.60982953902018,ok,0.7961,0.6956,25.183715,33.326357,42.841678,42.861224,1,
17,34.0,1.0,89.5968,94.84022214108101,ok,0.8126,0.778,31.4059,53.18906,70.56472,88.94108399999999,14,0.8277902556639302,89.7898,90.55403855404768,ok,0.7829,0.8024,29.744286,46.273003,72.791081,86.67309300000001,0.0,,80.7971,97.18527278011528,ok,0.7255,0.76,12.383017,20.880482999999998,26.310441,32.831624,0,,83.0232,93.43096792091929,ok,0.7199,0.7287,25.172643,34.381105000000005,28.935129,28.977076,3,0.013768421330475164
18,29.0,1.0,91.7905,89.6049835333003,ok,0.8711,0.8055,28.55429,44.940985,71.635327,121.763241,0,,87.5482,95.73410329704646,ok,0.8674,0.7427,27.000701,49.123033,70.583052,102.34149199999999,4.0,0.9090691389212151,84.4086,86.77780778982756,ok,0.7822,0.654,15.865866,20.067294,39.720636,42.124395,0,,85.7213,85.33924597715732,ok,0.7142,0.692,29.152947,33.870614,43.029609,43.394507,3,0.01620211937252315
19,25.0,1.0,83.7206,108.86370261108199,ok,0.7849,0.7228,34.092548,64.456209,74.266133,101.019444,47,0.24782352419126977,85.8142,99.74116622725694,ok,0.86,0.5871,46.38674,71.137494,81.722111,104.085512,13.0,0.5582619525104269,76.6827,109.04197330788483,ok,0.6961,0.6148,23.12822,33.752483,41.730384,45.114831,0,,77.5226,109.92751205340407,ok,0.6737,0.6806,24.976922,34.371579999999994,54.952417,58.280232,0,
20,23.0,1.0,93.4704,85.59592243232437,ok,0.8923,0.5105,67.42357,127.908219,86.546818,103.163255,15,0.9023773448274348,89.7628,90.61643226749386,ok,0.7777,0.815,53.555066,86.758207,87.464176,100.30659899999999,14.0,0.7442403486329857,86.6504,80.31748520496616,ok,0.8358,0.7,8.75846,10.061387,47.921891,49.768398000000005,0,,84.2368,89.79132752547451,ok,0.7227,0.739,21.612087,32.561531,40.466393,41.718812,0,
21,62.0,2.0,85.02,105.7627001736702,ok,0.7804,0.645,42.127594,54.936247,73.476996,93.206853,32,0.5875972187950034,83.4158,105.28357668389872,ok,0.7308,0.5081,38.950222,53.799651999999995,76.419396,95.433571,24.0,0.6277077791800404,83.745,88.69014165873382,ok,0.6951,0.5983,8.983908,15.148043,34.205448,37.342724999999994,0,,83.1771,92.96941497360639,ok,0.4981,0.6128,19.701778,28.358672,34.168825,35.282441,0,
22,22.0,1.0,83.1802,110.1533606972582,ok,0.7781,0.7009,46.878891,84.152874,82.472543,109.592746,30,0.7348797278767614,80.5156,111.9855858593292,ok,0.7399,0.5513,47.377205,72.032026,82.922167,103.343551,7.0,0.7439787825517359,76.7784,108.76618917398739,ok,0.7266,0.6265,8.427558,11.68493,50.034634,50.73036999999999,0,,79.6512,103.54374594781429,ok,0.6914,0.6674,17.671327,27.513804,57.987537,58.743631,0,
24,57.0,2.0,85.8738,103.72511676512607,ok,0.843,0.5803,30.832208,46.53985,75.98297,95.99625499999999,0,,81.9022,108.7813220421263,ok,0.8231,0.5272,18.389594,31.065155999999998,70.146884,89.155795,0.0,,81.0559,96.4394740982694,ok,0.7703,0.4567,12.1907,16.349033,43.790695,47.903608,0,,78.2366,107.7861942861434,ok,0.7096,0.4948,24.89997,30.622773,35.096497,36.262693999999996,2,
25,50.0,2.0,78.6251,121.02405194141282,ok,0.7229,0.5573,34.469026,62.286704,68.297138,93.470845,49,0.3215644167157235,79.858,113.50521941348516,ok,0.7798,0.5546,32.504261,41.165902,63.928881,88.488448,87.0,0.6638786956184777,80.8899,96.91784574118445,ok,0.5865,0.6723,14.021423,15.055062,23.850012,28.696281,0,,79.1471,105.05556427621222,ok,0.5593,0.6534,24.249304,29.32161,33.372613,33.216238000000004,3,0.03767886933498474
26,54.0,2.0,88.7042,96.97040128194124,ok,0.8356,0.8274,24.018556,36.116638,71.74252,84.725615,0,,91.0102,87.73384270628016,ok,0.8889,0.7777,31.113536,45.215408,75.471612,84.951456,0.0,,83.8694,88.33165110223604,ok,0.6749,0.6488,11.783454,20.615345,33.643017,42.102293,0,,84.7485,88.25671645893767,ok,0.5702,0.641,22.899817,27.477408999999998,38.056584,43.368559000000005,0,
27,53.0,2.0,83.1018,110.34046135224749,ok,0.7864,0.535,26.417962,50.98786,71.392622,96.382036,4,1.5358114419316875,82.8539,106.5820591870621,ok,0.8022,0.5271,29.589218,55.729206,70.743638,90.86720500000001,6.0,1.345603393794567,84.8419,85.52914253154387,ok,0.5979,0.7309,9.622596,18.439230000000002,46.250265,47.970914,0,,83.1018,93.1952430238511,ok,0.7864,0.535,23.233208,31.076711000000003,46.831983,50.323133,0,
29,53.0,2.0,81.9656,113.05198895682445,ok,0.8668,0.691,40.414089,76.82006899999999,84.404241,111.191757,13,0.8878602981685759,79.1937,115.04033585208887,ok,0.8456,0.6178,37.080538,71.614555,82.49617,104.126022,4.0,1.3753093599818897,81.9639,93.8228388466617,ok,0.6645,0.6382,12.238755,20.314943,42.531193,46.464852,0,,82.8559,93.93270806442447,ok,0.5833,0.5633,17.903295,34.506674000000004,33.244933,36.697751000000004,0,
32,53.0,2.0,90.7888,91.99552850910098,ok,0.8233,0.6557,40.875999,66.70027,76.147675,96.14408300000001,31,0.48307701521450364,82.7419,106.84087755394997,ok,0.8566,0.5319,46.648865,60.57629,80.583137,95.000717,0.0,,78.4452,103.96287679801854,ok,0.6803,0.6697,12.855877,25.237544999999997,44.447075,46.458714,0,,79.5812,103.75367906225163,ok,0.5676,0.6458,16.446048,27.531098,48.321157,48.928399999999996,0,
33,34.0,1.0,94.0092,84.31008272686222,ok,0.8878,0.8077,15.930027,27.116185,63.751241,85.537689,0,,93.416,82.17433175039757,ok,0.794,0.7885,16.931846,32.838835,66.541982,86.872016,0.0,,76.2075,110.41138417965134,ok,0.687,0.6555,18.072991,21.328543999999997,25.889829,36.149305999999996,0,,75.8807,114.85164320475604,ok,0.6396,0.7202,34.05058,48.590221,29.456344,30.82616,3,0.049667389436393344
35,60.0,2.0,85.1,105.57178113796684,ok,0.7746,0.7707,21.882703,41.674199,67.729246,86.812134,0,,85.7356,99.92280125973359,ok,0.7563,0.8348,23.31058,42.733554,69.461891,83.14731599999999,2.0,,81.3849,95.49137608309434,ok,0.7996,0.5868,17.577829,24.620588,32.145344,35.741941000000004,0,,81.401,98.29601789577964,ok,0.6997,0.525,17.590002,29.803601999999998,31.799737,33.590263,0,
36,22.0,1.0,83.717,108.87229396768865,ok,0.6787,0.6609,34.144559,54.263901000000004,75.702248,108.932301,8,0.7667341253781529,84.339,103.15017385969438,ok,0.7429,0.6502,69.372404,106.308569,86.855851,106.214859,19.0,0.6373362251719698,83.1074,90.52754984862929,ok,0.745,0.6577,6.376357,12.059508,28.903627,32.684384,0,,84.4758,89.07455589189564,ok,0.8871,0.7415,9.902448,16.851018,28.557028,33.424578,0,
