permutation,null_auc
252,0.3509615384615385
253,0.3701923076923077
254,0.3701923076923077
255,0.6538461538461539
256,0.4182692307692308
257,0.13461538461538464
258,0.2980769230769231
259,0.6105769230769231
260,0.32692307692307687
261,0.6009615384615385
262,0.30288461538461536
263,0.5769230769230769
264,0.4423076923076923
265,0.23557692307692307
266,0.4903846153846154
267,0.6490384615384615
268,0.6730769230769231
269,0.10576923076923077
270,0.30288461538461536
271,0.4807692307692308
272,0.6586538461538463
273,0.451923076923077
274,0.37980769230769235
275,0.5144230769230769
276,0.5
277,0.49038461538461536
278,0.3317307692307693
279,0.5528846153846154
280,0.5048076923076924
281,0.5096153846153847
282,0.34615384615384615
283,0.5865384615384616
284,0.4182692307692308
285,0.15865384615384617
286,0.4326923076923077
287,0.5336538461538461
288,0.6201923076923077
289,0.125
290,0.6298076923076923
291,0.3365384615384615
292,0.4086538461538462
293,0.15384615384615385
294,0.625
295,0.47596153846153844
296,0.25
297,0.20192307692307693
298,0.5240384615384616
299,0.33653846153846156
300,0.6730769230769231
301,0.3173076923076923
302,0.5
303,0.2644230769230769
304,0.6394230769230769
305,0.37500000000000006
306,0.27403846153846156
307,0.38461538461538464
308,0.5192307692307693
309,0.4326923076923077
310,0.31730769230769235
311,0.38461538461538464
312,0.3076923076923077
313,0.41826923076923084
314,0.4951923076923077
315,0.375
316,0.3317307692307692
317,0.42307692307692313
318,0.3317307692307693
319,0.5673076923076923
320,0.2980769230769231
321,0.3653846153846154
322,0.3894230769230769
323,0.07692307692307693
324,0.34134615384615385
325,0.2115384615384615
326,0.44230769230769235
327,0.25961538461538464
328,0.3798076923076923
329,0.6105769230769231
330,0.13942307692307693
331,0.1923076923076923
332,0.3653846153846154
333,0.2403846153846154
334,0.10576923076923078
335,0.35096153846153844
336,0.47115384615384615
337,0.4855769230769231
338,0.5625
339,0.1778846153846154
340,0.5576923076923077
341,0.17307692307692307
342,0.7692307692307692
343,0.1778846153846154
344,0.5384615384615385
345,0.46153846153846156
346,0.19711538461538464
347,0.3317307692307693
348,0.15865384615384615
349,0.3557692307692308
350,0.24038461538461542
351,0.4134615384615385
352,0.40384615384615385
353,0.014423076923076924
354,0.6682692307692308
355,0.4375
356,0.6586538461538463
357,0.5721153846153846
358,0.3509615384615385
359,0.6057692307692308
360,0.004807692307692308
361,0.4375
362,0.5
363,0.4375
364,0.34134615384615385
365,0.23076923076923078
366,0.46153846153846156
367,0.4807692307692308
368,0.5048076923076923
369,0.5288461538461539
370,0.24038461538461542
371,0.5
372,0.15384615384615385
373,0.6586538461538461
374,0.6682692307692307
375,0.5192307692307693
376,0.1971153846153846
377,0.4230769230769231
378,0.4519230769230769
379,0.625
380,0.6153846153846154
381,0.5673076923076923
382,0.375
383,0.5769230769230769
384,0.2932692307692307
385,0.6730769230769231
386,0.1634615384615385
387,0.2980769230769231
388,0.28846153846153844
389,0.39903846153846156
390,0.4326923076923077
391,0.47115384615384615
392,0.48557692307692313
393,0.19230769230769235
394,0.5576923076923077
395,0.5336538461538461
396,0.4567307692307692
397,0.5480769230769231
398,0.32692307692307687
399,0.4807692307692307
400,0.4711538461538462
401,0.43269230769230765
402,0.375
403,0.5480769230769231
404,0.2307692307692308
405,0.3028846153846154
406,0.44711538461538464
407,0.6057692307692308
408,0.3317307692307693
409,0.27884615384615385
410,0.15865384615384615
411,0.4807692307692308
412,0.4807692307692308
413,0.20192307692307693
414,0.451923076923077
415,0.27403846153846156
416,0.14903846153846154
417,0.5336538461538461
418,0.10096153846153846
419,0.34615384615384615
420,0.1201923076923077
421,0.057692307692307696
422,0.5432692307692308
423,0.3221153846153846
424,0.48557692307692313
425,0.2932692307692307
426,0.4182692307692308
427,0.32211538461538464
428,0.6778846153846154
429,0.21153846153846154
430,0.5961538461538461
431,0.5384615384615385
432,0.1826923076923077
433,0.375
434,0.04326923076923077
