permutation,null_pearson_r
109,-0.40972659475016016
110,-0.6779223683313811
111,-0.013035541596997196
112,-0.47130052534319444
113,-0.4858362233108633
114,-0.1058910777284065
115,0.09499856706286426
116,0.21938466649015007
117,0.023223689310036055
118,0.34118282914365183
119,-0.4433442528397163
120,0.28495141395545315
121,-0.33224512225174624
122,-0.9999999691407212
123,-0.20659382702811713
124,-0.6895420499574297
125,-0.999999690243148
126,-0.9999996290202481
127,-0.7279209637338437
128,0.22750425800412236
129,-0.3380400049182511
130,-0.7011444971340588
131,-0.37335763007655637
132,-0.9999996319476645
133,-0.6406355436465924
134,-0.9998766608289322
135,-0.5014650045821075
136,-0.9829376267387661
137,-0.3863345989610965
138,0.2243672946874584
139,-0.540036279872959
140,-0.36199542535217316
141,-0.16860561014004238
142,-0.3194530049332261
143,0.314662219991023
144,-0.40696100962226306
145,-0.999999671954661
146,-0.8181685233358039
147,-0.4181362712627135
148,-0.5107125082585114
149,-0.9999988119252382
150,-0.27745985055401745
151,-0.999999428227482
152,-0.4169488206951335
153,-0.4338859008782987
154,-0.2236978513256134
155,-0.1850280679038017
156,-0.38209654579042934
157,-0.9999998252817628
158,-0.37261508980103447
159,-0.2899374807795614
160,-0.9999999698018047
161,-0.38851175809493255
162,0.06358226108463957
163,-0.4099102905053881
164,-0.9999996381328902
165,-0.9176042700323274
166,-0.4310309679509378
167,0.17764241025748767
168,0.1575145401685526
169,-0.6376034080489663
170,-0.6079062876883682
171,-0.6323858982627529
172,-0.46768886629819834
173,-0.21483912800498287
174,-0.9999981813211641
175,-0.985925858185087
176,-0.33864656670374504
177,-0.6066312782239349
178,-0.47915877616879327
179,-0.9816700630966442
180,-0.3663415356200605
181,-0.4273423186093753
182,-0.6117384122540755
183,-0.8121944420399113
184,-0.9999999142379312
185,0.17937931864665999
186,-0.7232247543464463
187,-0.5929636196710549
188,-0.43118487561116925
189,-0.47150521870780016
190,-0.39172404909851266
191,-0.6965759524714977
192,-0.015806195219508018
193,-0.7690706501264207
194,-0.5529534778753749
195,-0.999997474752542
196,0.10017533931714372
197,-0.42294884550596556
198,-0.369662486794761
199,-0.5397361114768388
200,-0.3721159740807797
201,-0.9999995920758271
202,0.0778179494897581
203,-0.4281321874138992
204,-0.1308062469696156
205,-0.9999999954042672
206,-0.5492928147066019
207,-0.9999995285346219
208,-0.371829166908052
209,0.06901452639709407
210,0.20821006973291814
211,0.17429463393964356
212,0.018872701185163723
213,-0.4269001112747692
214,-0.31152692676471067
215,0.5282849547341523
216,-0.5336327394696666
217,-0.3874016186523958
218,0.07871612543589658
219,-0.35461528452359103
220,0.4727323136078872
221,0.13665608310405428
222,-0.13857201411684672
223,-0.06327049009061927
224,0.32933996656108205
225,-0.00203049367903488
226,-0.4154069183003429
227,-0.6227017678622321
228,-0.6918639882782005
229,-0.4617038509248567
230,-0.4283647402901781
231,-0.9999993850082544
232,-0.7257192532194511
233,-0.4643529981206409
234,-0.12578401374222833
235,-0.5482644632848097
236,-0.9999989761530309
237,-0.09742590538443438
238,0.3976956528002215
239,0.28990657152091165
240,-0.9999998331107217
241,-0.2904521290207402
242,-0.9999998693545047
243,0.07528580520122916
244,-0.00037391152462147017
245,-0.34218047586893335
246,-0.9999999956740435
247,-0.10430041314142788
248,-0.042919302009799196
249,-0.4337981836376824
250,-0.009850574249690318
251,-0.5130668099613311
252,-0.30239967987659033
253,-0.9969939072296767
254,0.2372556853311414
255,-0.3811991928503471
256,-0.3695254251010582
257,-0.29826608405903243
258,-0.41359525448472745
259,-0.05118354249887701
260,-0.3825805166030902
261,-0.5559408803492047
262,-0.39532748739657175
263,-0.6519525848162836
264,-0.43210447125887014
265,-0.9999996482023729
266,-0.33280772842732465
267,0.16442201458423022
268,-0.1825007697817391
269,-0.384677017367095
270,-0.4328049969791485
271,-0.4206515043063454
272,0.3236500167398198
273,-0.995216137682459
274,-0.33193103645777433
